# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: SEAGenerator - Drift Stream: SEAGenerator - alpha: 0.0 - position: 250000 - width: 1000 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_SEA Generator_SEA ' 'Generator_1000_1000_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
37990,0.802037,0.865000,0.464206,0.410000,7.920898,25.588867
38190,0.802421,0.875000,0.464658,0.550000,7.920898,26.354492
38390,0.802618,0.840000,0.465681,0.660000,7.920898,27.518555
38590,0.802786,0.835000,0.465938,0.515000,7.920898,26.877930
38790,0.802850,0.815000,0.465622,0.405000,7.920898,27.842773
38990,0.803170,0.865000,0.465619,0.465000,7.920898,27.026367
39190,0.803641,0.895000,0.465282,0.400000,7.920898,25.588867
39390,0.803954,0.865000,0.465051,0.420000,7.920898,26.385742
39590,0.804112,0.835000,0.464848,0.425000,7.920898,25.252930
39790,0.804444,0.870000,0.464975,0.490000,7.920898,28.303711
39990,0.804724,0.860000,0.464824,0.435000,7.920898,27.475586
40190,0.804775,0.815000,0.464700,0.440000,7.920898,24.456055
40390,0.805000,0.850000,0.464776,0.480000,7.920898,27.264648
40590,0.805025,0.810000,0.464827,0.475000,7.920898,23.963867
40790,0.805172,0.835000,0.464778,0.455000,7.920898,27.182617
40990,0.805270,0.825000,0.465000,0.510000,7.920898,25.893555
41190,0.805366,0.825000,0.465634,0.595000,7.920898,26.385742
41390,0.805461,0.825000,0.465655,0.470000,7.920898,26.530273
41590,0.805725,0.860000,0.465773,0.490000,7.920898,23.135742
41790,0.806010,0.865000,0.466298,0.575000,7.920898,25.166992
41990,0.806292,0.865000,0.466220,0.450000,7.920898,28.639648
42190,0.806429,0.835000,0.465952,0.410000,7.920898,24.948242
42390,0.806611,0.845000,0.466445,0.570000,7.920898,26.143555
42590,0.807005,0.890000,0.466368,0.450000,7.920898,24.456055
42790,0.807160,0.840000,0.466103,0.410000,7.920898,25.401367
42990,0.807430,0.865000,0.466005,0.445000,7.920898,26.354492
43190,0.807488,0.820000,0.465721,0.405000,7.920898,26.081055
43390,0.807801,0.875000,0.465880,0.500000,7.920898,27.182617
43590,0.807995,0.850000,0.466198,0.535000,7.920898,27.842773
43790,0.807959,0.800000,0.466009,0.425000,7.920898,25.096680
43990,0.808151,0.850000,0.465708,0.400000,7.920898,24.885742
44190,0.808159,0.810000,0.466250,0.585000,7.920898,27.002930
44390,0.808326,0.845000,0.466267,0.470000,7.920898,24.393555
44590,0.808626,0.875000,0.466194,0.450000,7.920898,25.284180
44790,0.808767,0.840000,0.466211,0.470000,7.920898,23.471680
44990,0.808862,0.830000,0.465938,0.405000,7.920898,30.381836
45190,0.809133,0.870000,0.465800,0.435000,7.920898,27.823242
45390,0.809336,0.855000,0.465973,0.505000,7.920898,24.057617
45590,0.809581,0.865000,0.466189,0.515000,7.920898,26.581055
45790,0.809583,0.810000,0.466162,0.460000,7.920898,26.174805
45990,0.809934,0.890000,0.465917,0.410000,7.920898,24.456055
46190,0.810130,0.855000,0.465630,0.400000,7.920898,25.889648
46390,0.810303,0.850000,0.465281,0.385000,7.920898,25.893555
46590,0.810409,0.835000,0.464806,0.355000,7.920898,25.377930
46790,0.810536,0.840000,0.464592,0.415000,7.920898,27.213867
46990,0.810748,0.860000,0.464380,0.415000,7.920898,28.741211
47190,0.810936,0.855000,0.464319,0.450000,7.920898,26.690430
47390,0.811165,0.865000,0.464068,0.405000,7.920898,23.963867
47590,0.811308,0.845000,0.463819,0.405000,7.920898,28.159180
47790,0.811576,0.875000,0.463697,0.435000,7.920898,26.854492
47990,0.811695,0.840000,0.463410,0.395000,7.920898,30.014648
48190,0.811792,0.835000,0.463062,0.380000,7.920898,23.166992
48390,0.811992,0.860000,0.463320,0.525000,7.920898,22.209961
48590,0.812211,0.865000,0.463595,0.530000,7.920898,23.963867
48790,0.812222,0.815000,0.464053,0.575000,7.920898,27.823242
48990,0.812398,0.855000,0.464590,0.595000,7.920898,26.573242
49190,0.812571,0.855000,0.464388,0.415000,7.920898,27.170898
49390,0.812724,0.850000,0.464492,0.490000,7.920898,23.807617
49590,0.812794,0.830000,0.464676,0.510000,7.920898,26.342773
49790,0.812984,0.860000,0.465081,0.565000,7.920898,27.170898
49990,0.813313,0.895000,0.465482,0.565000,7.920898,25.682617
