# TEST CONFIGURATION BEGIN
# RandomRBFGeneratorDrift(change_speed=0.0001, model_random_state=None, n_centroids=50, n_classes=2, n_features=10, num_drift_centroids=50, sample_random_state=None)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_rbf_im_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
24990,0.610202,0.630000,0.491169,0.715000,0.413548,0.290000,0.485444,0.305000,0.423750,0.290000,14.483398,31.133789,76.309570,109.793945,129.344727
25190,0.609720,0.550000,0.492080,0.605000,0.412560,0.290000,0.484360,0.350000,0.422720,0.295000,14.483398,31.223633,69.157227,115.704102,149.903320
25390,0.610040,0.650000,0.492341,0.525000,0.411746,0.310000,0.483294,0.350000,0.422183,0.355000,14.483398,32.317383,80.954102,113.270508,139.168945
25590,0.610039,0.610000,0.493071,0.585000,0.411220,0.345000,0.483110,0.460000,0.421969,0.395000,14.483398,28.055664,69.911133,105.473633,151.411133
25790,0.609688,0.565000,0.492734,0.450000,0.410703,0.345000,0.482500,0.405000,0.421250,0.330000,14.483398,31.278320,65.747070,99.379883,133.270508
25990,0.609070,0.530000,0.492636,0.480000,0.409961,0.315000,0.483256,0.580000,0.420465,0.320000,14.483398,34.903320,63.274414,105.899414,137.301758
26190,0.608731,0.565000,0.492615,0.490000,0.409385,0.335000,0.482115,0.335000,0.419808,0.335000,14.483398,33.750977,72.633789,104.887695,136.844727
26390,0.608550,0.585000,0.493969,0.670000,0.408435,0.285000,0.480649,0.290000,0.418779,0.285000,14.483398,26.532227,76.512695,103.446289,146.500977
26590,0.607992,0.535000,0.494659,0.585000,0.407955,0.345000,0.479962,0.390000,0.418220,0.345000,14.483398,32.368164,76.407227,112.180664,136.434570
26790,0.607632,0.560000,0.495150,0.560000,0.407782,0.385000,0.479436,0.410000,0.418045,0.395000,14.483398,32.153320,62.813477,110.106445,137.692383
26990,0.607127,0.540000,0.495448,0.535000,0.407500,0.370000,0.478619,0.370000,0.417724,0.375000,14.483398,27.344727,74.997070,112.504883,145.665039
27190,0.607037,0.595000,0.495852,0.550000,0.406630,0.290000,0.477407,0.315000,0.416741,0.285000,14.483398,32.219727,74.965820,104.434570,143.715820
