# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=SEAGenerator(balance_classes=False, classification_function=2, noise_percentage=0.1, random_state=112), position=250000, random_state=None, stream=SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.1, random_state=112), width=1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff9bf738b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_sea_a_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
41390,0.823665,0.840000,0.465655,0.470000,7.920898,26.530273
41590,0.823889,0.870000,0.465773,0.490000,7.920898,23.135742
41790,0.824111,0.870000,0.466298,0.575000,7.920898,25.166992
41990,0.824234,0.850000,0.466220,0.450000,7.920898,28.639648
42190,0.824429,0.865000,0.465952,0.410000,7.920898,24.948242
42390,0.824384,0.815000,0.466445,0.570000,7.920898,26.143555
42590,0.824670,0.885000,0.466368,0.450000,7.920898,24.456055
42790,0.824742,0.840000,0.466103,0.410000,7.920898,25.401367
42990,0.825023,0.885000,0.466005,0.445000,7.920898,26.354492
43190,0.825023,0.825000,0.465721,0.405000,7.920898,26.081055
43390,0.825231,0.870000,0.465880,0.500000,7.920898,27.182617
43590,0.825346,0.850000,0.466198,0.535000,7.920898,27.842773
43790,0.825344,0.825000,0.466009,0.425000,7.920898,25.096680
43990,0.825525,0.865000,0.465708,0.400000,7.920898,24.885742
44190,0.825568,0.835000,0.466250,0.585000,7.920898,27.002930
44390,0.825633,0.840000,0.466267,0.470000,7.920898,24.393555
44590,0.825946,0.895000,0.466194,0.450000,7.920898,25.284180
44790,0.826009,0.840000,0.466211,0.470000,7.920898,23.471680
44990,0.826272,0.885000,0.465938,0.405000,7.920898,30.381836
45190,0.826533,0.885000,0.465800,0.435000,7.920898,27.823242
45390,0.826681,0.860000,0.465973,0.505000,7.920898,24.057617
45590,0.826806,0.855000,0.466189,0.515000,7.920898,26.581055
45790,0.826886,0.845000,0.466162,0.460000,7.920898,26.174805
45990,0.827074,0.870000,0.465917,0.410000,7.920898,24.456055
46190,0.827174,0.850000,0.465630,0.400000,7.920898,25.889648
46390,0.827208,0.835000,0.465281,0.385000,7.920898,25.893555
46590,0.827328,0.855000,0.464806,0.355000,7.920898,25.377930
46790,0.827618,0.895000,0.464592,0.415000,7.920898,27.213867
46990,0.827671,0.840000,0.464380,0.415000,7.920898,28.741211
47190,0.827872,0.875000,0.464319,0.450000,7.920898,26.690430
47390,0.828093,0.880000,0.464068,0.405000,7.920898,23.963867
47590,0.827996,0.805000,0.463819,0.405000,7.920898,28.159180
47790,0.828214,0.880000,0.463697,0.435000,7.920898,26.854492
47990,0.828347,0.860000,0.463410,0.395000,7.920898,30.014648
48190,0.828375,0.835000,0.463062,0.380000,7.920898,23.166992
48390,0.828506,0.860000,0.463320,0.525000,7.920898,22.209961
48590,0.828657,0.865000,0.463595,0.530000,7.920898,23.963867
48790,0.828683,0.835000,0.464053,0.575000,7.920898,27.823242
48990,0.828750,0.845000,0.464590,0.595000,7.920898,26.573242
49190,0.828878,0.860000,0.464388,0.415000,7.920898,27.170898
49390,0.829004,0.860000,0.464492,0.490000,7.920898,23.807617
49590,0.829069,0.845000,0.464676,0.510000,7.920898,26.342773
49790,0.829173,0.855000,0.465081,0.565000,7.920898,27.170898
49990,0.829378,0.880000,0.465482,0.565000,7.920898,25.682617
