# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=MIXEDGenerator(balance_classes=False, classification_function=1, random_state=112), position=2000, random_state=112, stream=MIXEDGenerator(balance_classes=False, classification_function=0, random_state=112), width=1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_mixed_g_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
28990,0.845139,0.905000,0.876215,0.885000,8.858398,139.745117
29190,0.845586,0.910000,0.876000,0.845000,8.858398,124.370117
29390,0.845890,0.890000,0.875993,0.875000,8.858398,136.561523
29590,0.846293,0.905000,0.876054,0.885000,8.858398,137.889648
29790,0.846791,0.920000,0.875980,0.865000,8.858398,139.405273
29990,0.847114,0.895000,0.876107,0.895000,8.858398,130.924805
30190,0.847433,0.895000,0.875733,0.820000,8.858398,122.909180
30390,0.847947,0.925000,0.875960,0.910000,8.858398,136.596680
30590,0.848454,0.925000,0.875921,0.870000,8.858398,119.913086
30790,0.849052,0.940000,0.876013,0.890000,8.858398,112.409180
30990,0.849675,0.945000,0.876331,0.925000,8.858398,114.932617
31190,0.850000,0.900000,0.876677,0.930000,8.858398,122.381836
31390,0.850417,0.915000,0.876987,0.925000,8.858398,123.612305
31590,0.850764,0.905000,0.877038,0.885000,8.858398,128.124023
31790,0.851013,0.890000,0.876994,0.870000,8.858398,112.393555
31990,0.851258,0.890000,0.877013,0.880000,8.858398,116.315430
32190,0.851594,0.905000,0.877094,0.890000,8.858398,110.448242
32390,0.851957,0.910000,0.877174,0.890000,8.858398,124.639648
32590,0.852284,0.905000,0.877130,0.870000,8.858398,128.745117
32790,0.852546,0.895000,0.877270,0.900000,8.858398,116.674805
32990,0.852896,0.910000,0.877439,0.905000,8.858398,120.823242
33190,0.853152,0.895000,0.877394,0.870000,8.858398,116.041992
33390,0.853434,0.900000,0.877229,0.850000,8.858398,136.569336
33590,0.853862,0.925000,0.876976,0.835000,8.858398,151.053711
33790,0.854196,0.910000,0.876726,0.835000,8.858398,135.627930
33990,0.854497,0.905000,0.876598,0.855000,8.858398,108.624023
34190,0.854824,0.910000,0.876382,0.840000,8.858398,116.916992
34390,0.855292,0.935000,0.876579,0.910000,8.858398,128.295898
34590,0.855669,0.920000,0.876890,0.930000,8.858398,131.745117
34790,0.856098,0.930000,0.877312,0.950000,8.858398,133.721680
34990,0.856523,0.930000,0.877586,0.925000,8.858398,138.389648
35190,0.856743,0.895000,0.877771,0.910000,8.858398,140.245117
35390,0.856903,0.885000,0.878040,0.925000,8.858398,137.006836
35590,0.857119,0.895000,0.878362,0.935000,8.858398,133.307617
35790,0.857303,0.890000,0.878455,0.895000,8.858398,116.194336
35990,0.857570,0.905000,0.878464,0.880000,8.858398,105.409180
36190,0.857861,0.910000,0.878333,0.855000,8.858398,98.627930
36390,0.858094,0.900000,0.878039,0.825000,8.858398,117.420898
36590,0.858407,0.915000,0.877885,0.850000,8.858398,126.616211
36790,0.858852,0.940000,0.878005,0.900000,8.858398,144.616211
36990,0.858940,0.875000,0.877609,0.805000,8.858398,164.850586
37190,0.859000,0.870000,0.877351,0.830000,8.858398,115.600586
37390,0.859113,0.880000,0.876801,0.775000,8.858398,114.709961
37590,0.859519,0.935000,0.876578,0.835000,8.858398,119.600586
37790,0.859840,0.920000,0.876356,0.835000,8.858398,136.217773
37990,0.860026,0.895000,0.876138,0.835000,8.858398,138.424805
38190,0.860158,0.885000,0.876000,0.850000,8.858398,125.682617
38390,0.860628,0.950000,0.876335,0.940000,8.858398,133.620117
38590,0.860911,0.915000,0.876563,0.920000,8.858398,134.491211
38790,0.860984,0.875000,0.876528,0.870000,8.858398,145.881836
38990,0.861289,0.920000,0.876366,0.845000,8.858398,124.139648
39190,0.861462,0.895000,0.876487,0.900000,8.858398,121.139648
39390,0.861658,0.900000,0.876709,0.920000,8.858398,120.163086
39590,0.861929,0.915000,0.876980,0.930000,8.858398,128.084961
39790,0.862045,0.885000,0.877096,0.900000,8.858398,116.291992
39990,0.862161,0.885000,0.876935,0.845000,8.858398,107.151367
40190,0.862575,0.945000,0.876875,0.865000,8.858398,117.186523
40390,0.862786,0.905000,0.876866,0.875000,8.858398,116.643555
40590,0.862946,0.895000,0.876708,0.845000,8.858398,121.014648
