# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_Mixed Generator_Mixed ' 'Generator_1000_1_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
20590,0.549510,0.660000,0.745049,0.750000,0.711618,0.590000,0.672696,0.665000,0.588186,0.545000,8.858398,24.770508,47.731445,48.516602,73.661133
20790,0.549709,0.570000,0.745388,0.780000,0.710388,0.585000,0.672330,0.635000,0.588932,0.665000,8.858398,19.391602,50.778320,40.231445,69.692383
20990,0.551154,0.700000,0.745433,0.750000,0.709808,0.650000,0.671971,0.635000,0.590000,0.700000,8.858398,17.301758,52.442383,46.954102,70.129883
21190,0.550190,0.450000,0.745619,0.765000,0.709190,0.645000,0.671810,0.655000,0.590667,0.660000,8.858398,22.161133,47.922852,65.696289,81.532227
21390,0.549906,0.520000,0.745708,0.755000,0.709387,0.730000,0.672500,0.745000,0.590566,0.580000,8.858398,20.715820,48.907227,71.290039,75.840820
21590,0.550794,0.645000,0.745654,0.740000,0.709252,0.695000,0.672570,0.680000,0.590654,0.600000,8.858398,20.176758,46.016602,59.602539,74.290039
21790,0.552361,0.720000,0.746204,0.805000,0.709213,0.705000,0.673657,0.790000,0.591296,0.660000,8.858398,25.786133,46.977539,54.583008,75.348633
21990,0.554220,0.755000,0.746560,0.785000,0.709771,0.770000,0.674817,0.800000,0.592064,0.675000,8.858398,21.278320,42.301758,62.524414,72.137695
22190,0.552818,0.400000,0.745273,0.605000,0.708455,0.565000,0.674136,0.600000,0.590727,0.445000,8.858398,20.204102,46.293945,61.344727,76.125977
22390,0.551622,0.420000,0.745090,0.725000,0.709505,0.825000,0.673829,0.640000,0.589054,0.405000,8.858398,21.469727,46.262695,64.645508,82.813477
22590,0.551250,0.510000,0.745357,0.775000,0.709375,0.695000,0.674777,0.780000,0.587812,0.450000,8.858398,20.247070,41.223633,65.551758,81.899414
22790,0.551991,0.635000,0.744336,0.630000,0.709381,0.710000,0.676150,0.830000,0.588628,0.680000,8.858398,19.708008,50.266602,56.762695,73.258789
22990,0.552632,0.625000,0.744298,0.740000,0.709825,0.760000,0.677675,0.850000,0.588684,0.595000,8.858398,18.977539,45.872070,61.618164,65.926758
23190,0.551783,0.455000,0.742870,0.580000,0.708174,0.520000,0.676261,0.515000,0.588261,0.540000,8.858398,19.598633,41.348633,65.762695,81.344727
23390,0.551509,0.520000,0.743578,0.825000,0.708405,0.735000,0.675733,0.615000,0.587931,0.550000,8.858398,18.875977,46.473633,64.047852,83.825195
23590,0.551966,0.605000,0.743718,0.760000,0.708974,0.775000,0.676752,0.795000,0.587436,0.530000,8.858398,21.016602,41.254883,59.567383,84.899414
23790,0.553729,0.760000,0.743517,0.720000,0.708814,0.690000,0.677754,0.795000,0.589025,0.775000,8.858398,20.223633,47.915039,64.489258,87.504883
23990,0.555798,0.800000,0.743571,0.750000,0.709160,0.750000,0.678319,0.745000,0.590546,0.770000,8.858398,18.364258,45.821289,67.536133,78.747070
24190,0.554375,0.385000,0.743000,0.675000,0.708208,0.595000,0.677708,0.605000,0.589958,0.520000,8.858398,22.637695,50.766602,66.188477,67.887695
24390,0.553967,0.505000,0.743512,0.805000,0.707893,0.670000,0.678017,0.715000,0.589256,0.505000,8.858398,20.700195,46.071289,56.551758,65.860352
24590,0.554057,0.565000,0.743648,0.760000,0.707541,0.665000,0.678648,0.755000,0.588607,0.510000,8.858398,21.786133,43.364258,56.590820,71.762695
24790,0.554634,0.625000,0.743699,0.750000,0.708577,0.835000,0.680122,0.860000,0.589593,0.710000,8.858398,22.610352,55.192383,60.094727,68.860352
24990,0.555685,0.685000,0.744274,0.815000,0.709597,0.835000,0.681452,0.845000,0.590766,0.735000,8.858398,24.059570,47.524414,64.708008,66.372070
25190,0.554680,0.430000,0.743480,0.645000,0.708640,0.590000,0.680760,0.595000,0.589680,0.455000,8.858398,22.094727,44.051758,51.208008,86.360352
25390,0.554405,0.520000,0.743770,0.780000,0.709286,0.790000,0.681429,0.765000,0.590000,0.630000,8.858398,21.040039,56.524414,65.915039,81.942383
25590,0.555630,0.710000,0.744252,0.805000,0.709803,0.775000,0.682126,0.770000,0.590748,0.685000,8.858398,24.340820,48.641602,64.610352,74.426758
25790,0.556641,0.685000,0.743984,0.710000,0.710156,0.755000,0.682891,0.780000,0.592227,0.780000,8.858398,21.766602,55.004883,63.946289,71.461914
25990,0.558605,0.810000,0.743953,0.740000,0.710155,0.710000,0.683450,0.755000,0.593876,0.805000,8.858398,20.598633,50.950195,55.985352,73.489258
26190,0.557346,0.395000,0.743269,0.655000,0.709385,0.610000,0.682038,0.500000,0.592308,0.390000,8.858398,20.559570,59.833008,63.309570,79.391602
26390,0.556221,0.410000,0.742824,0.685000,0.710191,0.815000,0.682290,0.715000,0.589962,0.285000,8.858398,17.641602,58.145508,54.309570,73.559570
26590,0.556288,0.565000,0.742765,0.735000,0.710985,0.815000,0.682841,0.755000,0.589773,0.565000,8.858398,21.329102,57.446289,55.918945,70.176758
26790,0.556880,0.635000,0.742368,0.690000,0.711654,0.800000,0.683083,0.715000,0.590602,0.700000,8.858398,17.215820,51.602539,59.770508,68.524414
26990,0.557724,0.670000,0.742425,0.750000,0.712351,0.805000,0.682500,0.605000,0.591791,0.750000,8.858398,20.805664,39.504883,58.747070,71.418945
27190,0.556815,0.435000,0.742037,0.690000,0.711222,0.560000,0.680963,0.475000,0.591222,0.515000,8.858398,26.387695,48.559570,61.637695,65.168945
