# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=SEAGenerator(balance_classes=False, classification_function=1, noise_percentage=0.1, random_state=112), position=250000, random_state=None, stream=SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.1, random_state=112), width=50000)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_sea_g_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
16390,0.846420,0.865000,0.461605,0.515000,7.920898,27.823242
16590,0.846585,0.860000,0.462378,0.525000,7.920898,26.081055
16790,0.847349,0.910000,0.464277,0.620000,7.920898,25.893555
16990,0.847679,0.875000,0.463512,0.400000,7.920898,27.518555
17190,0.847118,0.800000,0.462706,0.395000,7.920898,23.666992
17390,0.847035,0.840000,0.463430,0.525000,7.920898,26.959961
17590,0.846724,0.820000,0.464138,0.525000,7.920898,28.002930
17790,0.846534,0.830000,0.463523,0.410000,7.920898,25.893555
17990,0.845899,0.790000,0.463764,0.485000,7.920898,24.413086
18190,0.846278,0.880000,0.463000,0.395000,7.920898,26.385742
18390,0.846593,0.875000,0.461484,0.325000,7.920898,25.893555
18590,0.846957,0.880000,0.461196,0.435000,7.920898,24.604492
18790,0.846989,0.850000,0.463763,0.700000,7.920898,25.096680
18990,0.847181,0.865000,0.464521,0.535000,7.920898,27.475586
19190,0.847316,0.860000,0.464895,0.500000,7.920898,27.284180
19390,0.847240,0.840000,0.464792,0.455000,7.920898,27.823242
19590,0.846856,0.810000,0.464175,0.405000,7.920898,26.385742
19790,0.846276,0.790000,0.463418,0.390000,7.920898,26.385742
19990,0.846061,0.825000,0.463384,0.460000,7.920898,26.877930
20190,0.845600,0.800000,0.463050,0.430000,7.920898,26.573242
20390,0.845545,0.840000,0.462426,0.400000,7.920898,24.456055
20590,0.845490,0.840000,0.462157,0.435000,7.920898,25.252930
20790,0.845146,0.810000,0.462087,0.455000,7.920898,25.284180
20990,0.845192,0.850000,0.461346,0.385000,7.920898,25.588867
21190,0.845619,0.890000,0.461286,0.455000,7.920898,25.284180
21390,0.846179,0.905000,0.460708,0.400000,7.920898,27.182617
21590,0.845981,0.825000,0.461776,0.575000,7.920898,26.510742
21790,0.846250,0.875000,0.461343,0.415000,7.920898,24.268555
21990,0.846239,0.845000,0.460872,0.410000,7.920898,25.682617
22190,0.846182,0.840000,0.461045,0.480000,7.920898,27.663086
22390,0.846306,0.860000,0.462252,0.595000,7.920898,25.065430
22590,0.846250,0.840000,0.462366,0.475000,7.920898,21.678711
22790,0.846504,0.875000,0.461726,0.390000,7.920898,27.518555
22990,0.846754,0.875000,0.461886,0.480000,7.920898,26.385742
23190,0.846957,0.870000,0.461522,0.420000,7.920898,27.213867
23390,0.846810,0.830000,0.462069,0.525000,7.920898,25.588867
23590,0.847308,0.905000,0.461496,0.395000,7.920898,26.229492
23790,0.847203,0.835000,0.461822,0.500000,7.920898,28.159180
23990,0.847101,0.835000,0.461933,0.475000,7.920898,29.627930
24190,0.847167,0.855000,0.462458,0.525000,7.920898,28.159180
24390,0.847562,0.895000,0.463347,0.570000,7.920898,26.678711
24590,0.847705,0.865000,0.462951,0.415000,7.920898,27.823242
24790,0.848008,0.885000,0.462480,0.405000,7.920898,26.385742
24990,0.848024,0.850000,0.461935,0.395000,7.920898,27.823242
25190,0.847880,0.830000,0.461880,0.455000,7.920898,27.631836
25390,0.848333,0.905000,0.462341,0.520000,7.920898,28.159180
25590,0.848386,0.855000,0.461969,0.415000,7.920898,27.182617
25790,0.848281,0.835000,0.462461,0.525000,7.920898,26.229492
25990,0.848217,0.840000,0.461705,0.365000,7.920898,25.870117
26190,0.848346,0.865000,0.462308,0.540000,7.920898,27.170898
26390,0.848168,0.825000,0.461985,0.420000,7.920898,25.870117
26590,0.848258,0.860000,0.462045,0.470000,7.920898,27.475586
26790,0.848459,0.875000,0.462895,0.575000,7.920898,27.213867
26990,0.848619,0.870000,0.463246,0.510000,7.920898,29.932617
27190,0.848815,0.875000,0.463630,0.515000,7.920898,24.245117
27390,0.848897,0.860000,0.463824,0.490000,7.920898,26.081055
27590,0.849234,0.895000,0.463686,0.445000,7.920898,26.081055
27790,0.849529,0.890000,0.463406,0.425000,7.920898,25.885742
27990,0.849676,0.870000,0.463381,0.460000,7.920898,25.588867
28190,0.849571,0.835000,0.462929,0.400000,7.920898,27.518555
28390,0.849397,0.825000,0.462234,0.365000,7.920898,28.975586
28590,0.849507,0.865000,0.462359,0.480000,7.920898,27.026367
28790,0.849441,0.840000,0.462517,0.485000,7.920898,26.081055
28990,0.849444,0.850000,0.462292,0.430000,7.920898,28.334961
29190,0.849517,0.860000,0.462862,0.545000,7.920898,28.002930
29390,0.849589,0.860000,0.463288,0.525000,7.920898,25.893555
29590,0.849626,0.855000,0.462789,0.390000,7.920898,26.877930
29790,0.849561,0.840000,0.462095,0.360000,7.920898,24.674805
29990,0.849698,0.870000,0.461711,0.405000,7.920898,25.565430
30190,0.849367,0.800000,0.461667,0.455000,7.920898,25.096680
30390,0.849238,0.830000,0.463013,0.665000,7.920898,22.643555
30590,0.849441,0.880000,0.463125,0.480000,7.920898,25.166992
30790,0.849510,0.860000,0.463889,0.580000,7.920898,25.557617
30990,0.849578,0.860000,0.463539,0.410000,7.920898,26.385742
31190,0.849742,0.875000,0.464065,0.545000,7.920898,27.518555
31390,0.849936,0.880000,0.463718,0.410000,7.920898,25.526367
31590,0.850127,0.880000,0.462771,0.315000,7.920898,26.229492
31790,0.850190,0.860000,0.462563,0.430000,7.920898,26.100586
31990,0.850440,0.890000,0.462358,0.430000,7.920898,27.182617
32190,0.850562,0.870000,0.462625,0.505000,7.920898,23.627930
