Distance,Power,Liter,V1,V2,X,Y,Phase,Phase_compressed,Production
1.0,3286.23,0.0,0.0,0.0,3.376815075671127,2.3538918480887174,20,4,0
1.0,3264.006,0.0,0.0,0.0,3.38075354172852,2.371606195781235,20,4,0
1.0,3261.66,0.0,0.0,0.0,3.388630473843307,2.3538918480887174,20,4,0
1.0,3244.11,0.0,0.0,0.0,3.3886304738433073,2.407034891166271,20,4,0
1.0,3256.587,0.0,0.0,0.0,3.2208267719361587,1.3448100925111452,20,4,0
1.0,3259.32,0.0,0.0,0.0,3.292532320507646,1.3292125362830105,20,4,0
1.0,3259.32,0.0,0.0,0.0,3.292532320507646,1.3279026617235798,20,4,0
1.0,3259.32,0.0,0.0,0.0,3.32899128499772,1.3292125362830105,20,4,0
1.0,3259.32,0.0,0.0,0.0,3.32899128499772,1.3279026617235798,20,4,0
1.0,3248.79,0.0,0.0,0.0,3.564898377291855,1.1123316959848166,20,4,0
1.0,3248.79,0.0,0.0,0.0,3.564898377291855,1.001258693175202,20,4,0
1.0,3248.79,0.0,0.0,0.0,3.6917996704005622,1.1123316959848166,20,4,0
1.0,3248.79,0.0,0.0,0.0,3.6917996704005622,1.001258693175202,20,4,0
1.0,3252.297,0.0,0.0,0.0,3.675952494517799,1.0788062560901428,20,4,0
1.0,3252.297,0.0,0.0,0.0,3.675952494517799,1.1288906683179971,20,4,0
1.0,3252.297,0.0,0.0,0.0,3.662151438370109,1.0788062560901428,20,4,0
1.0,3252.297,0.0,0.0,0.0,3.662151438370109,1.1288906683179971,20,4,0
1.0,3269.86,0.0,0.0,0.0,3.374715285997051,1.614802793173081,20,4,0
1.0,3253.86,0.0,0.0,0.0,3.093078042044528,2.1108433165651657,20,4,0
1.0,3253.86,0.0,0.0,0.0,3.093078042044528,2.3868173003190565,20,4,0
1.0,3253.86,0.0,0.0,0.0,2.9335294939778445,2.1108433165651657,20,4,0
1.0,3253.86,0.0,0.0,0.0,2.9335294939778445,2.3868173003190565,20,4,0
1.0,3255.81,0.0,0.0,0.0,3.1640871055013684,2.085294541140668,20,4,0
1.0,3255.81,0.0,0.0,0.0,3.1640871055013684,1.9173917667248923,20,4,0
1.0,3255.81,0.0,0.0,0.0,3.2906583123162365,2.085294541140668,20,4,0
1.0,3255.81,0.0,0.0,0.0,3.2906583123162365,1.9173917667248923,20,4,0
1.0,3259.32,0.0,0.0,0.0,3.3249662397143216,1.9175528945385336,20,4,0
1.0,3268.68,0.0,0.0,0.0,3.422857981583467,1.7514711461998167,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.488544998048061,1.6085569622765423,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.488544998048061,1.5277395567018233,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.522656542965665,1.6085569622765423,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.522656542965665,1.5277395567018233,20,4,0
1.0,3264.0000000000036,0.0,0.0,0.0,3.4509967125626244,1.6294856789223495,20,4,0
1.0,3264.0000000000055,0.0,0.0,0.0,3.4509967125626244,1.6902545033987502,20,4,0
1.0,3264.000000000011,0.0,0.0,0.0,3.407109055382977,1.6294856789223495,20,4,0
1.0,3258.15,0.0,0.0,0.0,3.393227824706736,1.7574247014949966,20,4,0
1.0,3258.15,0.0,0.0,0.0,3.393227824706736,1.7986129404950553,20,4,0
1.0,3258.15,0.0,0.0,0.0,3.3828088300656862,1.7574247014949966,20,4,0
1.0,3258.15,0.0,0.0,0.0,3.3828088300656862,1.7986129404950553,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.3829516200647087,1.8372037118283864,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.3829516200647087,1.8572817823170489,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.3817239406563373,1.8372037118283864,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.3817239406563373,1.8572817823170489,20,4,0
1.0,3267.9,0.0,0.0,0.0,3.386797427560793,1.8237067168458,20,4,0
1.0,3260.49,0.0,0.0,0.0,3.4049113513892237,1.851329921522667,20,4,0
1.0,3260.49,0.0,0.0,0.0,3.4049113513892237,1.8646117089154592,20,4,0
1.0,3260.49,0.0,0.0,0.0,3.4130597581534228,1.851329921522667,20,4,0
1.0,3260.49,0.0,0.0,0.0,3.4130597581534228,1.8646117089154592,20,4,0
1.0,3247.62,0.0,0.0,0.0,3.492926116159337,1.6951054059151738,20,4,0
1.0,3247.62,0.0,0.0,0.0,3.492926116159337,1.599119171902945,20,4,0
1.0,3247.62,0.0,0.0,0.0,3.534745496372223,1.6951054059151738,20,4,0
1.0,3247.62,0.0,0.0,0.0,3.534745496372223,1.599119171902945,20,4,0
1.0,3261.66,0.0,0.0,0.0,3.441904052678713,1.7349944370038282,20,4,0
1.0,3268.68,0.0,0.0,0.0,3.4592432774252355,1.7505918726129237,20,4,0
1.0,3258.15,0.0,0.0,0.0,3.466034768179737,1.7379996164992058,20,4,0
1.0,3255.81,0.0,0.0,0.0,3.4747666848640963,1.719912174725455,20,4,0
1.0,3264.0,0.0,0.0,0.0,3.4850511726492086,1.6980092169259198,20,4,0
1.0,3261.66,0.0,0.0,0.0,3.4994494555483655,1.6646887185280117,20,4,0
1.0,3245.28,0.0,0.0,0.0,3.501080290395622,1.6570845466812214,20,4,0
1.0,3271.02,0.0,0.0,0.0,3.500857062611568,2.762052124996768,20,4,0
1.0,3264.78,0.0,0.0,0.0,3.3920449343252144,2.497594317941008,20,4,0
1.0,3264.78,0.0,0.0,0.0,3.3920449343252144,2.3521945453093744,20,4,0
1.0,3264.78,0.0,0.0,0.0,3.3322146623833375,2.497594317941008,20,4,0
1.0,3264.78,0.0,0.0,0.0,3.3322146623833375,2.3521945453093744,20,4,0
1.0,3267.9,0.0,0.0,0.0,3.3384081085812305,2.2962421089757243,20,4,0
1.0,3260.49,0.0,0.0,0.0,3.3439692625310498,2.2704708685610093,20,4,0
1.0,3263.61,0.0,0.0,0.0,3.332027602758441,2.205729487246794,20,4,0
1.0,3263.61,0.0,0.0,0.0,3.332027602758441,2.161377725963027,20,4,0
