# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.001, n_drift_features=2, n_features=10, noise_percentage=0.1, random_state=None, sigma_percentage=0.1)
# [hat] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [rslvq] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [rrslvq] RSLVQ
# [adf] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [oza] OzaBaggingADWINClassifier(base_estimator=KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5), n_estimators=10, random_state=None)
# [samknn] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='Hyperplane Generator_time_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[rrslvq],current_acc_[rrslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[rrslvq],testing_time_[rrslvq],total_running_time_[rrslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
6790,0.833333,0.855000,0.762121,0.770000,0.804091,0.790000,0.763939,0.755000,0.773788,0.790000,0.803788,0.835000,1.418557,0.377464,1.796021,2.495633,0.170025,2.665658,7.263018,0.158506,7.421523,28.032253,2.305497,30.337750,5.321054,2.924676,8.245729,1.772242,0.559428,2.331670
6990,0.833382,0.835000,0.760000,0.690000,0.803529,0.785000,0.765294,0.810000,0.775147,0.820000,0.805147,0.850000,1.513161,0.393058,1.906219,2.580795,0.175182,2.755977,7.485355,0.163370,7.648725,29.256338,2.393766,31.650105,5.542962,3.035901,8.578863,1.867821,0.580995,2.448816
7190,0.833714,0.845000,0.759714,0.750000,0.803857,0.815000,0.765143,0.760000,0.775429,0.785000,0.805857,0.830000,1.571884,0.404563,1.976447,2.673247,0.180242,2.853489,7.722838,0.168128,7.890966,30.331333,2.477223,32.808556,5.718674,3.131504,8.850178,1.916501,0.595055,2.511556
7390,0.834167,0.850000,0.760139,0.775000,0.805417,0.860000,0.766389,0.810000,0.775972,0.795000,0.805972,0.810000,1.629542,0.416507,2.046049,2.748719,0.185984,2.934703,7.962018,0.173059,8.135077,31.435898,2.557268,33.993166,5.907306,3.230625,9.137931,1.965858,0.610176,2.576034
7590,0.834865,0.860000,0.761351,0.805000,0.803784,0.745000,0.767297,0.800000,0.775135,0.745000,0.806081,0.810000,1.724886,0.428091,2.152978,2.824916,0.191012,3.015929,8.211963,0.178965,8.390928,32.464350,2.635620,35.099970,6.083123,3.337512,9.420635,2.036178,0.635958,2.672135
7790,0.834342,0.815000,0.759605,0.695000,0.804079,0.815000,0.768158,0.800000,0.775263,0.780000,0.806447,0.820000,1.782325,0.439274,2.221598,2.897508,0.196017,3.093524,8.426031,0.183740,8.609771,33.482984,2.713843,36.196826,6.244125,3.443731,9.687857,2.093116,0.655213,2.748328
7990,0.834231,0.830000,0.760641,0.800000,0.803590,0.785000,0.769487,0.820000,0.776538,0.825000,0.807051,0.830000,1.840485,0.450215,2.290700,2.966345,0.201103,3.167448,8.632400,0.188435,8.820835,34.436024,2.788418,37.224442,6.415615,3.533916,9.949530,2.150457,0.672947,2.823404
8190,0.835125,0.870000,0.761250,0.785000,0.802625,0.765000,0.769875,0.785000,0.777000,0.795000,0.807250,0.815000,1.894605,0.461168,2.355773,3.042659,0.206196,3.248855,8.834687,0.193118,9.027805,35.394319,2.869085,38.263404,6.586658,3.626322,10.212980,2.197854,0.688580,2.886434
8390,0.835366,0.845000,0.761829,0.785000,0.802439,0.795000,0.770122,0.780000,0.777927,0.815000,0.807195,0.805000,1.956895,0.472300,2.429195,3.111729,0.211149,3.322878,9.030951,0.197815,9.228766,36.351781,2.943951,39.295732,6.746934,3.716689,10.463623,2.252249,0.706618,2.958866
8590,0.834524,0.800000,0.759405,0.660000,0.802143,0.790000,0.768810,0.715000,0.776905,0.735000,0.806548,0.780000,2.009509,0.493910,2.503419,3.183554,0.216288,3.399842,9.257660,0.202582,9.460242,37.452083,3.018644,40.470727,6.919355,3.810481,10.729836,2.310899,0.730651,3.041551
