id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],mean_acc_[MCCVM$_5$],current_acc_[MCCVM$_5$],mean_acc_[MCCVM$_{300}$],current_acc_[MCCVM$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{300}$],model_size_[MCCVM$_5$],model_size_[MCCVM$_{300}$]
21799,0.280370,0.375000,0.452222,0.420000,0.577407,0.540000,0.139306,0.160000,0.154954,0.090000,129.170898,163.577148,2487.659180,22.476562,80.867188
21999,0.281055,0.355000,0.452248,0.455000,0.577431,0.580000,0.139083,0.115000,0.154450,0.100000,127.983398,163.913086,2514.862305,22.476562,96.886719
22199,0.281045,0.280000,0.452091,0.435000,0.577182,0.550000,0.139091,0.140000,0.154318,0.140000,129.233398,163.577148,2452.784180,22.476562,89.906250
22399,0.281712,0.355000,0.452072,0.450000,0.577432,0.605000,0.139054,0.135000,0.154550,0.180000,128.295898,163.241211,2542.983398,22.476562,85.449219
22599,0.282679,0.390000,0.452277,0.475000,0.577098,0.540000,0.139107,0.145000,0.154732,0.175000,129.233398,162.905273,2432.190430,22.476562,68.960938
22799,0.283363,0.360000,0.452788,0.510000,0.576770,0.540000,0.138761,0.100000,0.154690,0.150000,129.233398,163.577148,2465.186523,22.476562,91.484375
22999,0.283772,0.330000,0.452895,0.465000,0.576754,0.575000,0.138728,0.135000,0.154605,0.145000,129.233398,161.928711,2429.014648,22.476562,95.746094
23199,0.284870,0.410000,0.453652,0.540000,0.576826,0.585000,0.138609,0.125000,0.154478,0.140000,129.233398,163.241211,2421.854492,22.476562,61.742188
23399,0.285345,0.340000,0.454095,0.505000,0.576422,0.530000,0.138836,0.165000,0.154440,0.150000,129.233398,163.577148,2474.420898,22.476562,94.695312
23599,0.285598,0.315000,0.453974,0.440000,0.575470,0.465000,0.138932,0.150000,0.154444,0.155000,129.233398,163.913086,2462.143555,22.476562,73.085938
23799,0.286271,0.365000,0.453898,0.445000,0.575085,0.530000,0.138644,0.105000,0.154746,0.190000,129.233398,163.241211,2521.073242,22.476562,81.773438
23999,0.286849,0.355000,0.453866,0.450000,0.574202,0.470000,0.138613,0.135000,0.154622,0.140000,129.233398,163.577148,2394.920898,22.132812,112.117188
24199,0.287125,0.320000,0.453542,0.415000,0.573750,0.520000,0.138458,0.120000,0.155000,0.200000,129.233398,163.913086,2444.979492,22.476562,75.902344
24399,0.288388,0.440000,0.454091,0.520000,0.573802,0.580000,0.138554,0.150000,0.154835,0.135000,129.233398,163.241211,2471.752930,22.476562,75.417969
